  Run#   Cultivar     DAYL      Srad     Tmean        Vt      SumRFi      ADAP      ADOY
    88   Gen=1        14.0      21.5      27.0      1.60     0.00000     -99.0       -99
    89   Gen=1        14.0      21.5      28.0      1.60     0.00000     -99.0       -99
    90   Gen=1        14.0      21.5      29.0      1.60     0.00000     -99.0       -99
    91   Gen=1        14.5      21.5      15.0      1.60     0.00098     -99.0       -99
    92   Gen=1        14.5      21.5      16.0      1.60     0.00070     -99.0       -99
    93   Gen=1        14.5      21.5      17.0      1.60     0.00041     -99.0       -99
    94   Gen=1        14.5      21.5      18.0      1.60     0.00013     -99.0       -99
    95   Gen=1        14.5      21.5      19.0      1.60     0.00000     -99.0       -99
    96   Gen=1        14.5      21.5      20.0      1.60     0.00000     -99.0       -99
    97   Gen=1        14.5      21.5      21.0      1.60     0.00000     -99.0       -99
    98   Gen=1        14.5      21.5      22.0      1.60     0.00000     -99.0       -99
    99   Gen=1        14.5      21.5      23.0      1.60     0.00000     -99.0       -99
   100   Gen=1        14.5      21.5      24.0      1.60     0.00000     -99.0       -99
   101   Gen=1        14.5      21.5      25.0      1.60     0.00000     -99.0       -99
   102   Gen=1        14.5      21.5      26.0      1.60     0.00000     -99.0       -99
   103   Gen=1        14.5      21.5      27.0      1.60     0.00000     -99.0       -99
   104   Gen=1        14.5      21.5      28.0      1.60     0.00000     -99.0       -99
   105   Gen=1        14.5      21.5      29.0      1.60     0.00000     -99.0       -99
   106   Gen=1        15.0      21.5      15.0      1.60     0.00000     -99.0       -99
   107   Gen=1        15.0      21.5      16.0      1.60     0.00000     -99.0       -99
   108   Gen=1        15.0      21.5      17.0      1.60     0.00000     -99.0       -99
   109   Gen=1        15.0      21.5      18.0      1.60     0.00000     -99.0       -99
   110   Gen=1        15.0      21.5      19.0      1.60     0.00000     -99.0       -99
   111   Gen=1        15.0      21.5      20.0      1.60     0.00000     -99.0       -99
   112   Gen=1        15.0      21.5      21.0      1.60     0.00000     -99.0       -99
   113   Gen=1        15.0      21.5      22.0      1.60     0.00000     -99.0       -99
   114   Gen=1        15.0      21.5      23.0      1.60     0.00000     -99.0       -99
   115   Gen=1        15.0      21.5      24.0      1.60     0.00000     -99.0       -99
   116   Gen=1        15.0      21.5      25.0      1.60     0.00000     -99.0       -99
   117   Gen=1        15.0      21.5      26.0      1.60     0.00000     -99.0       -99
   118   Gen=1        15.0      21.5      27.0      1.60     0.00000     -99.0       -99
   119   Gen=1        15.0      21.5      28.0      1.60     0.00000     -99.0       -99
   120   Gen=1        15.0      21.5      29.0      1.60     0.00000     -99.0       -99
   121   Gen=1        15.5      21.5      15.0      1.60     0.00000     -99.0       -99
   122   Gen=1        15.5      21.5      16.0      1.60     0.00000     -99.0       -99
   123   Gen=1        15.5      21.5      17.0      1.60     0.00000     -99.0       -99
